BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2013-07-08,Мечел ап,MTLRP,0,0.0,,,,55.39,,,0,54.53,54.53,54.53,1483656.5,1483656.5,1483656.5,,3,0.0
TQBR,2013-07-09,Мечел ап,MTLRP,0,0.0,,,,54.11,,,0,54.39,54.39,54.39,1132326.8,1132326.8,1132326.8,,3,0.0
TQBR,2013-07-10,Мечел ап,MTLRP,0,0.0,,,,54.68,,,0,54.09,54.09,54.09,1499321.6,1499321.6,1499321.6,,3,0.0
TQBR,2013-07-11,Мечел ап,MTLRP,0,0.0,,,,54.74,,,0,55.68,55.68,55.68,4183404.3,4183404.3,4183404.3,,3,0.0
TQBR,2013-07-12,Мечел ап,MTLRP,0,0.0,,,,56.17,,,0,56.04,56.04,56.04,5586322.4,5586322.4,5586322.4,,3,0.0
TQBR,2013-07-15,Мечел ап,MTLRP,0,0.0,,,,56.37,,,0,56.32,56.32,56.32,3156319.5,3156319.5,3156319.5,,3,0.0
TQBR,2013-07-16,Мечел ап,MTLRP,0,0.0,,,,55.84,,,0,55.89,55.89,55.89,1440771.8,1440771.8,1440771.8,,3,0.0
TQBR,2013-07-17,Мечел ап,MTLRP,0,0.0,,,,55.09,,,0,55.34,55.34,55.34,10372785.3,10372785.3,10372785.3,,3,0.0
TQBR,2013-07-18,Мечел ап,MTLRP,0,0.0,,,,54.81,,,0,55.08,55.08,55.08,15495758.8,15495758.8,15495758.8,,3,0.0
TQBR,2013-07-19,Мечел ап,MTLRP,0,0.0,,,,54.93,,,0,54.66,54.66,54.66,5714705.2,5714705.2,5714705.2,,3,0.0
TQBR,2013-07-22,Мечел ап,MTLRP,0,0.0,,,,54.76,,,0,54.89,54.89,54.89,8982446.4,8982446.4,8982446.4,,3,0.0
TQBR,2013-07-23,Мечел ап,MTLRP,0,0.0,,,,54.5,,,0,54.62,54.62,54.62,4688116.2,4688116.2,4688116.2,,3,0.0
TQBR,2013-07-24,Мечел ап,MTLRP,0,0.0,,,,55.11,,,0,55.14,55.14,55.14,4729586.3,4729586.3,4729586.3,,3,0.0
TQBR,2013-07-25,Мечел ап,MTLRP,0,0.0,,,,54.84,,,0,54.82,54.82,54.82,3360873.9,3360873.9,3360873.9,,3,0.0
TQBR,2013-07-26,Мечел ап,MTLRP,0,0.0,,,,54.89,,,0,54.99,54.99,54.99,1465488.3,1465488.3,1465488.3,,3,0.0
TQBR,2013-07-29,Мечел ап,MTLRP,0,0.0,,,,54.47,,,0,54.52,54.52,54.52,5719386.8,5719386.8,5719386.8,,3,0.0
TQBR,2013-07-30,Мечел ап,MTLRP,0,0.0,,,,54.94,,,0,55.01,55.01,55.01,10531536.4,10531536.4,10531536.4,,3,0.0
TQBR,2013-07-31,Мечел ап,MTLRP,0,0.0,,,,54.22,,,0,54.34,54.34,54.34,3582431.8,3582431.8,3582431.8,,3,0.0
TQBR,2013-08-01,Мечел ап,MTLRP,0,0.0,,,,56.14,,,0,55.9,55.9,55.9,21993803.9,21993803.9,21993803.9,,3,0.0
TQBR,2013-08-02,Мечел ап,MTLRP,0,0.0,,,,56.13,,,0,56.06,56.06,56.06,3429487.2,3429487.2,3429487.2,,3,0.0
TQBR,2013-08-05,Мечел ап,MTLRP,0,0.0,,,,54.57,,,0,54.89,54.89,54.89,2834226.4,2834226.4,2834226.4,,3,0.0
TQBR,2013-08-06,Мечел ап,MTLRP,0,0.0,,,,53.04,,,0,53.58,53.58,53.58,3650861.0,3650861.0,3650861.0,,3,0.0
TQBR,2013-08-07,Мечел ап,MTLRP,0,0.0,,,,53.24,,,0,53.35,53.35,53.35,2326191.3,2326191.3,2326191.3,,3,0.0
TQBR,2013-08-08,Мечел ап,MTLRP,0,0.0,,,,52.61,,,0,53.08,53.08,53.08,2691857.5,2691857.5,2691857.5,,3,0.0
TQBR,2013-08-09,Мечел ап,MTLRP,0,0.0,,,,54.28,,,0,53.57,53.57,53.57,2719035.0,2719035.0,2719035.0,,3,0.0
TQBR,2013-08-12,Мечел ап,MTLRP,0,0.0,,,,55.21,,,0,55.07,55.07,55.07,4045130.5,4045130.5,4045130.5,,3,0.0
TQBR,2013-08-13,Мечел ап,MTLRP,0,0.0,,,,56.45,,,0,56.17,56.17,56.17,7552293.0,7552293.0,7552293.0,,3,0.0
TQBR,2013-08-14,Мечел ап,MTLRP,0,0.0,,,,56.75,,,0,56.82,56.82,56.82,1434674.8,1434674.8,1434674.8,,3,0.0
TQBR,2013-08-15,Мечел ап,MTLRP,0,0.0,,,,56.19,,,0,56.91,56.91,56.91,2354844.7,2354844.7,2354844.7,,3,0.0
TQBR,2013-08-16,Мечел ап,MTLRP,0,0.0,,,,56.23,,,0,56.47,56.47,56.47,13425084.1,13425084.1,13425084.1,,3,0.0
TQBR,2013-08-19,Мечел ап,MTLRP,0,0.0,,,,55.02,,,0,55.25,55.25,55.25,5382902.3,5382902.3,5382902.3,,3,0.0
TQBR,2013-08-20,Мечел ап,MTLRP,0,0.0,,,,54.54,,,0,54.91,54.91,54.91,3574549.7,3574549.7,3574549.7,,3,0.0
